#	NAME	P0	P1	DIST	ZZ	XX	YY	AGE	BSURF	EDOT
		(s)	(unit)	(kpc)	(kpc)	(kpc)	(kpc)	(Yr)	(G)	(ergs/s)
229	J1048-5838	1.231304777	1.22E-14	1.008	0.009	-0.961	8.197	1.60E+06	3.92E+12	2.60E+32
230	J2322+2057	0.004808428	9.66E-21	1.009	-0.612	0.797	8.591	7.89E+09	2.18E+08	3.40E+33
231	J1455-3330	0.007987205	2.43E-20	1.01	0.388	-0.456	7.686	5.21E+09	4.46E+08	1.90E+33
232	J0302+2252	1.20716484	8.25E-17	1.014	-0.519	0.32	9.31	2.32E+08	3.19E+11	1.90E+30
233	B0403-76	0.545254187	1.54E-15	1.014	-0.595	-0.77	8.215	5.60E+06	9.28E+11	3.80E+32
234	B2048-72	0.341336406	1.98E-16	1.029	-0.59	-0.52	7.837	2.74E+07	2.63E+11	2.00E+32
235	B0031-07	0.942950995	4.08E-16	1.03	-0.967	0.333	8.624	3.66E+07	6.28E+11	1.90E+31
236	B2151-56	1.373654387	4.23E-15	1.043	-0.763	-0.277	7.846	5.15E+06	2.44E+12	6.40E+31
237	B1946-25	0.95761663	3.27E-15	1.046	-0.415	0.253	7.574	4.64E+06	1.79E+12	1.50E+32
238	B0904-74	0.549553679	4.61E-16	1.048	-0.329	-0.936	8.164	1.89E+07	5.10E+11	1.10E+32
239	B1534+12	0.037904441	2.42E-18	1.051	0.785	0.237	7.843	2.48E+08	9.70E+09	1.80E+33
240	J1650-1654	1.749551746	3.20E-15	1.055	0.313	0.05	7.494	8.66E+06	2.40E+12	2.40E+31
241	B2310+42	0.349433682	1.12E-16	1.06	-0.3	0.985	8.753	4.93E+07	2.01E+11	1.00E+32
242	J1115-0956	1.31089402	3.47E-17	1.061	0.766	-0.733	8.531	5.98E+08	2.16E+11	6.10E+29
243	J1435-5954	0.472996377	1.55E-15	1.064	0.007	-0.745	7.74	4.84E+06	8.66E+11	5.80E+32
244	J1905+0400	0.003784405	4.91E-21	1.064	-0.024	0.656	7.663	1.22E+10	1.38E+08	3.60E+33
245	J1425-5723	0.35326292	2.20E-17	1.065	0.059	-0.747	7.743	2.54E+08	8.92E+10	2.00E+31
246	J1911-1114	0.003625746	1.40E-20	1.07	-0.178	0.448	7.545	4.12E+09	2.28E+08	1.20E+34
247	J1741+1351	0.003747155	3.02E-20	1.075	0.397	0.614	7.711	1.96E+09	3.41E+08	2.30E+34
248	J1313+0931	0.848932751	8.00E-16	1.08	1.025	-0.217	8.238	1.68E+07	8.34E+11	5.20E+31
249	B1709-15	0.868804249	1.10E-15	1.081	0.262	0.135	7.46	1.25E+07	9.90E+11	6.60E+31
250	J0612+37216	0.443871368	1.50E-16	1.083	0.171	0.085	9.566	4.70E+07	2.61E+11	6.80E+31
251	J1244-1812	3.425323707	1.48E-15	1.085	0.762	-0.665	8.107	3.66E+07	2.28E+12	1.50E+30
252	B1322+83	0.670037418	5.66E-16	1.087	0.603	0.768	8.978	1.87E+07	6.23E+11	7.40E+31
253	B1604-00	0.421816234	3.06E-16	1.087	0.631	0.165	7.63	2.18E+07	3.64E+11	1.60E+32
254	J1751-2857	0.003914873	1.12E-20	1.089	-0.021	0.012	7.411	5.53E+09	2.12E+08	7.40E+33
255	J0927+2345	0.761889236	3.05E-16	1.091	0.761	-0.334	9.207	3.95E+07	4.88E+11	2.70E+31
256	B1717-29	0.620448365	7.46E-16	1.095	0.081	-0.067	7.41	1.32E+07	6.88E+11	1.20E+32
257	J1216-6410	0.003539376	1.62E-21	1.099	-0.03	-0.96	7.966	3.47E+10	7.65E+07	1.40E+33
258	J0737-3039A	0.022699379	1.76E-18	1.1	-0.086	-0.996	8.959	2.04E+08	6.40E+09	5.90E+33
259	J0737-3039B	2.77346077	8.92E-16	1.1	-0.086	-0.996	8.959	4.92E+07	1.59E+12	1.70E+30
260	B0919+06	0.430627099	1.37E-14	1.1	0.653	-0.631	9.122	4.97E+05	2.46E+12	6.80E+33
261	J2339-0533	0.002884227	1.41E-20	1.1	-0.976	0.503	8.424	3.24E+09	2.04E+08	2.30E+34
262	B1730-22	0.871682833	4.27E-17	1.105	0.111	0.077	7.403	3.23E+08	1.95E+11	2.50E+30
263	J1801-1417	0.003625097	5.30E-21	1.105	0.08	0.277	7.433	1.08E+10	1.40E+08	4.40E+33
264	J0751+1807	0.003478771	7.79E-21	1.11	0.399	-0.4	9.455	7.08E+09	1.67E+08	7.30E+33
265	J0023+0923	0.003050203	1.14E-20	1.111	-0.886	0.625	8.745	4.23E+09	1.89E+08	1.60E+34
266	J1918-0642	0.007645873	2.57E-20	1.111	-0.176	0.549	7.55	4.72E+09	4.48E+08	2.30E+33
267	J1832+0029	0.533917733	1.55E-15	1.12	0.085	0.579	7.545	5.45E+06	9.21E+11	4.00E+32
268	B0053+47	0.472036662	3.33E-15	1.123	-0.289	0.902	9.104	2.25E+06	1.27E+12	1.20E+33
269	J1530-5327	0.278958415	4.68E-15	1.123	0.046	-0.638	7.577	9.44E+05	1.16E+12	8.50E+33
270	J0738+6904	6.827692802	2.70E-14	1.124	0.551	0.539	9.318	4.01E+06	1.37E+13	3.30E+30
271	J1848+0647	0.505956739	8.75E-15	1.128	0.072	0.704	7.621	9.16E+05	2.13E+12	2.70E+33
272	J1411+2551	0.062452896	9.56E-20	1.131	1.076	0.191	8.21	1.04E+10	2.47E+09	1.50E+31
273	J1909-3744	0.002947108	1.40E-20	1.14	-0.382	-0.005	7.426	3.33E+09	2.06E+08	2.20E+34
274	J1622-0315	0.003845429	1.16E-20	1.141	0.582	0.182	7.536	5.25E+09	2.14E+08	8.10E+33
275	J1543-5149	0.00205696	1.62E-20	1.148	0.05	-0.609	7.528	2.02E+09	1.84E+08	7.30E+34
276	J1848-0023	0.537623733	1.61E-15	1.149	0.009	0.613	7.528	5.29E+06	9.41E+11	4.10E+32
277	J1713+0747	0.004570137	8.53E-21	1.149	0.49	0.5	7.588	8.49E+09	2.00E+08	3.50E+33
278	J0732+2314	0.00409	6.00E-21	1.151	0.375	-0.299	9.546	1.08E+10	1.59E+08	3.50E+33
279	J0214+5222	0.024575295	2.99E-19	1.161	-0.17	0.803	9.321	1.30E+09	2.74E+09	8.00E+32
280	J2019+2425	0.003934524	7.02E-21	1.163	-0.134	1.045	8.007	8.88E+09	1.68E+08	4.60E+33
281	J0711+0931	1.214090492	4.00E-16	1.168	0.178	-0.518	9.531	4.81E+07	7.05E+11	8.80E+30
282	J0251+2606	0.002541554	7.57E-21	1.17	-0.576	0.448	9.414	5.32E+09	1.40E+08	1.80E+34
283	J0201+7005	1.349184472	5.51E-15	1.172	0.164	0.903	9.229	3.88E+06	2.76E+12	8.90E+31
284	B0450+55	0.340729436	2.37E-15	1.18	0.155	0.538	9.539	2.28E+06	9.10E+11	2.40E+33
285	J1126-6942	0.579418752	3.29E-15	1.185	-0.166	-1.058	7.992	2.79E+06	1.40E+12	6.70E+32
286	J1630+3734	0.003318112	1.08E-20	1.187	0.813	0.751	8.071	4.88E+09	1.91E+08	1.20E+34
287	B1855+09	0.0053621	1.78E-20	1.2	0.064	0.806	7.614	4.76E+09	3.13E+08	4.60E+33
288	J1923+2515	0.003788156	9.56E-21	1.201	0.099	1.025	7.883	6.28E+09	1.93E+08	6.90E+33
289	J0709+0458	0.034428978	3.80E-19	1.203	0.13	-0.607	9.53	1.43E+09	3.66E+09	3.70E+32
290	B1940-12	0.972428851	1.66E-15	1.204	-0.355	0.527	7.477	9.31E+06	1.28E+12	7.10E+31
291	J1849-0317	0.668407829	2.20E-14	1.205	-0.025	0.599	7.455	4.81E+05	3.88E+12	2.90E+33
292	B2321-61	2.347488363	2.58E-15	1.207	-0.966	-0.461	7.942	1.44E+07	2.49E+12	7.90E+30
293	J1339-4712	0.137054658	5.30E-19	1.212	0.311	-0.878	7.725	4.10E+09	8.62E+09	8.10E+30
294	J1745+1017	0.00265213	2.73E-21	1.214	0.4	0.655	7.56	1.54E+10	8.61E+07	5.80E+33
295	B0525+21	3.74553925	4.01E-14	1.215	-0.146	-0.081	9.703	1.48E+06	1.24E+13	3.00E+31
296	J1944+0907	0.005185202	1.73E-20	1.218	-0.156	0.886	7.679	4.74E+09	3.03E+08	4.90E+33
297	J1024-0719	0.005162205	1.86E-20	1.22	0.793	-0.881	8.791	4.41E+09	3.13E+08	5.30E+33
298	J1740+1000	0.154087174	2.15E-14	1.227	0.425	0.644	7.546	1.14E+05	1.84E+12	2.30E+35
299	J1917+0834	2.129665364	1.75E-14	1.231	-0.041	0.848	7.609	1.93E+06	6.18E+12	7.10E+31
300	J1923-0408	1.149269371	6.80E-17	1.236	-0.192	0.662	7.474	2.68E+08	2.83E+11	1.80E+30
301	J0533-4524	0.157284525	2.80E-16	1.239	-0.661	-0.993	8.833	8.89E+06	2.12E+11	2.80E+33
302	J1001-5939	7.733640265	5.99E-14	1.24	-0.077	-1.206	8.223	2.05E+06	2.18E+13	5.10E+30
303	B1510-48	0.454840333	9.26E-16	1.243	0.169	-0.691	7.481	7.78E+06	6.57E+11	3.90E+32
304	B1641-68	1.785613305	1.70E-15	1.245	-0.319	-0.744	7.554	1.66E+07	1.76E+12	1.20E+31
305	J0051+0423	0.354731799	7.00E-18	1.247	-1.063	0.547	8.855	8.03E+08	5.04E+10	6.20E+30
306	J1221-0633	0.00193	1.09E-20	1.247	1.028	-0.665	8.262	2.82E+09	1.46E+08	6.00E+34
307	J0645+5158	0.008853497	4.92E-21	1.25	0.433	0.324	9.627	2.85E+10	2.11E+08	2.80E+32
308	B0203-40	0.63055126	1.20E-15	1.26	-1.181	-0.43	8.587	8.35E+06	8.79E+11	1.90E+32
309	J1843-1113	0.001845666	9.55E-21	1.26	-0.075	0.472	7.334	3.06E+09	1.34E+08	6.00E+34
310	J1207-5050	0.004842757	6.07E-21	1.268	0.251	-1.118	7.958	1.27E+10	1.73E+08	2.10E+33
311	J1453+1902	0.005792303	1.17E-20	1.269	1.108	0.246	7.932	7.87E+09	2.63E+08	2.40E+33
312	B1735-32	0.768498945	7.95E-16	1.274	-0.011	-0.079	7.228	1.53E+07	7.91E+11	6.90E+31
313	B1359-51	1.380182295	5.41E-15	1.285	0.243	-0.901	7.617	4.04E+06	2.77E+12	8.10E+31
314	J1853-0649	1.048132105	1.55E-15	1.285	-0.079	0.584	7.358	1.07E+07	1.29E+12	5.30E+31
315	B2152-31	1.030002112	1.24E-15	1.298	-1.017	0.22	7.724	1.32E+07	1.14E+12	4.50E+31
316	J0337+1715	0.002732589	1.77E-20	1.3	-0.651	0.196	9.608	2.45E+09	2.22E+08	3.40E+34
317	J0538+2817	0.143158259	3.67E-15	1.3	-0.038	0.006	9.799	6.18E+05	7.33E+11	4.90E+34
318	B1916+14	1.181023297	2.12E-13	1.304	0.02	0.985	7.646	8.81E+04	1.60E+13	5.10E+33
319	J1604-4718	0.527465874	4.96E-15	1.307	0.087	-0.584	7.334	1.68E+06	1.64E+12	1.30E+33
320	J1549-4848	0.288354902	1.41E-14	1.308	0.098	-0.642	7.365	3.24E+05	2.04E+12	2.30E+34
321	J1538+2345	3.449384953	6.89E-15	1.312	1.039	0.485	7.863	7.93E+06	4.93E+12	6.60E+30
322	B0458+46	0.638565482	5.58E-15	1.319	0.071	0.443	9.74	1.81E+06	1.91E+12	8.50E+32
323	J1853+1303	0.004091797	8.72E-21	1.319	0.123	0.927	7.569	7.44E+09	1.91E+08	5.00E+33
324	B1701-75	1.191023997	1.88E-15	1.322	-0.457	-0.851	7.598	1.00E+07	1.51E+12	4.40E+31
325	J1909+0641	0.741761952	3.22E-15	1.325	-0.022	0.868	7.499	3.65E+06	1.56E+12	3.10E+32
326	J1104-6103	0.280905302	1.97E-15	1.327	-0.019	-1.244	8.039	2.26E+06	7.52E+11	3.50E+33
327	J1420-5625	0.034117131	6.80E-20	1.329	0.101	-0.937	7.563	8.01E+09	1.54E+09	6.70E+31
328	J0905-5127	0.346301153	2.49E-14	1.33	-0.066	-1.328	8.462	2.21E+05	2.97E+12	2.40E+34
329	B1426-66	0.785443345	2.78E-15	1.33	-0.125	-0.974	7.603	4.48E+06	1.49E+12	2.30E+32
330	J1806+2819	0.015083667	3.75E-20	1.33	0.491	1.008	7.785	6.37E+09	7.61E+08	4.30E+32
331	J2032+4127	0.14324647	1.13E-14	1.33	0.024	1.31	8.274	2.01E+05	1.29E+12	1.50E+35
332	J0457-6337	2.497011696	2.10E-16	1.333	-0.797	-1.066	8.429	1.88E+08	7.33E+11	5.30E+29
333	J1410-7404	0.278729444	6.74E-18	1.336	-0.279	-1.025	7.689	6.55E+08	4.39E+10	1.20E+31
334	B1828-60	1.8894355	2.70E-16	1.336	-0.483	-0.53	7.373	1.11E+08	7.23E+11	1.60E+30
335	J0518+5125	0.912511685	1.91E-16	1.337	0.184	0.49	9.73	7.57E+07	4.22E+11	9.90E+30
336	J0407+1607	0.025701739	7.90E-20	1.34	-0.58	0.071	9.706	5.15E+09	1.44E+09	1.80E+32
337	J2251-3711	12.12256493	1.31E-14	1.344	-1.196	0.039	7.889	1.47E+07	1.27E+13	2.90E+29
338	J0034-0534	0.001877182	4.97E-21	1.348	-1.25	0.468	8.684	5.99E+09	9.77E+07	3.00E+34
339	J0633+0632	0.297395191	7.96E-14	1.355	-0.022	-0.575	9.727	5.92E+04	4.92E+12	1.20E+35
340	J1154-6250	0.282011711	5.59E-16	1.358	-0.016	-1.216	7.895	7.99E+06	4.02E+11	9.80E+32
341	J1721-2457	0.003496634	5.54E-21	1.365	0.16	0.009	7.144	1.00E+10	1.41E+08	5.10E+33
342	J1911+1347	0.004625962	1.69E-20	1.365	0.043	1.006	7.579	4.33E+09	2.83E+08	6.80E+33
343	J1957+5033	0.374806224	7.08E-15	1.365	0.261	1.334	8.374	8.39E+05	1.65E+12	5.30E+33
344	J1152-6012	0.376569566	6.69E-15	1.367	0.044	-1.231	7.907	8.93E+05	1.61E+12	4.90E+33
345	J1023+0038	0.001687987	6.93E-21	1.368	0.98	-0.854	8.926	3.86E+09	1.09E+08	5.70E+34
346	B0410+69	0.39071509	7.66E-17	1.368	0.323	0.874	9.502	8.08E+07	1.75E+11	5.10E+31
347	J0623+0340	0.6137596	8.84E-17	1.375	-0.107	-0.612	9.727	1.10E+08	2.36E+11	1.50E+31
348	B1503-51	0.840738545	6.37E-15	1.384	0.133	-0.828	7.399	2.09E+06	2.34E+12	4.20E+32
349	J1931-0144	0.59366136	2.93E-17	1.387	-0.234	0.803	7.394	3.22E+08	1.33E+11	5.50E+30
350	B1504-43	0.2867585	1.58E-15	1.394	0.301	-0.735	7.354	2.87E+06	6.82E+11	2.70E+33
351	J2017+0603	0.002896216	7.99E-21	1.399	-0.386	1.009	7.611	5.74E+09	1.54E+08	1.30E+34
352	J0007+7303	0.315873191	3.60E-13	1.4	0.254	1.196	9.181	1.39E+04	1.08E+13	4.50E+35
353	B1957+20	0.001607402	1.69E-20	1.4	-0.115	1.198	7.785	1.51E+09	1.67E+08	1.60E+35
354	B1336-64	0.378622066	5.05E-15	1.402	-0.063	-1.103	7.637	1.19E+06	1.40E+12	3.70E+33
355	J1915+0738	1.542704449	3.31E-15	1.404	-0.044	0.947	7.465	7.39E+06	2.29E+12	3.60E+31
356	J1222-5738	1.081163527	1.50E-16	1.408	0.123	-1.226	7.818	1.14E+08	4.08E+11	4.70E+30
357	J0540+3207	0.524270863	4.48E-16	1.421	0.019	0.081	9.919	1.85E+07	4.90E+11	1.20E+32
358	J1028-5819	0.091403231	1.61E-14	1.423	-0.012	-1.374	8.13	9.00E+04	1.23E+12	8.30E+35
359	J1416-5033	0.794882546	1.20E-16	1.423	0.248	-0.964	7.484	1.05E+08	3.13E+11	9.40E+30
360	B1325-43	0.532698803	3.01E-15	1.424	0.45	-1.037	7.634	2.80E+06	1.28E+12	7.90E+32
361	B2110+27	1.202851754	2.62E-15	1.429	-0.346	1.339	8.141	7.27E+06	1.80E+12	5.90E+31
362	J1302-3258	0.00377	6.55E-21	1.432	0.712	-1.01	7.777	9.11E+09	1.59E+08	4.80E+33
363	J0518+5416	0.340202652	1.68E-15	1.434	0.238	0.577	9.791	3.22E+06	7.64E+11	1.70E+33
364	J1333-4449	0.345602949	5.40E-19	1.434	0.429	-1.036	7.606	1.01E+10	1.38E+10	5.20E+29
365	J0854+5449	1.233032602	3.12E-16	1.436	0.912	0.328	9.56	6.26E+07	6.28E+11	6.60E+30
366	B1056-78	1.347403776	1.33E-15	1.439	-0.434	-1.216	7.865	1.61E+07	1.35E+12	2.10E+31
367	J2017-1614	0.002314287	2.45E-21	1.444	-0.638	0.594	7.349	1.50E+10	7.62E+07	7.80E+33
368	J1635-1511	1.179387039	2.32E-16	1.445	0.52	0.048	7.153	8.05E+07	5.29E+11	5.60E+30
369	J1811-4930	1.432704197	2.25E-15	1.447	-0.357	-0.381	7.15	1.01E+07	1.82E+12	3.00E+31
370	B1839+56	1.652861853	1.49E-15	1.449	0.585	1.323	8.409	1.75E+07	1.59E+12	1.30E+31
371	J1301-6310	0.663829648	5.64E-14	1.458	-0.008	-1.208	7.683	1.86E+05	6.19E+12	7.60E+33
372	B1726-00	0.386003724	1.12E-15	1.459	0.458	0.542	7.225	5.45E+06	6.66E+11	7.70E+32
373	J1035-6720	0.002872006	4.65E-20	1.46	-0.199	-1.356	7.997	9.79E+08	3.70E+08	7.70E+34
374	B0751+32	1.442349479	1.08E-15	1.464	0.658	-0.186	9.794	2.12E+07	1.26E+12	1.40E+31
375	J2051-0827	0.004508642	1.27E-20	1.469	-0.744	0.801	7.518	5.61E+09	2.42E+08	5.50E+33
376	J1738+0333	0.005850096	2.41E-20	1.471	0.448	0.652	7.26	3.84E+09	3.80E+08	4.80E+33
377	J1312+0051	0.004228019	1.75E-20	1.471	1.313	-0.47	8.033	3.82E+09	2.75E+08	9.20E+33
378	J0139+3336	1.247960956	2.06E-15	1.472	-0.695	0.927	9.408	9.58E+06	1.62E+12	4.20E+31
379	J1800-0125	0.78318549	1.15E-14	1.477	0.274	0.631	7.193	1.08E+06	3.04E+12	9.50E+32
380	J2043+2740	0.096130563	1.27E-15	1.48	-0.235	1.378	8.015	1.20E+06	3.54E+11	5.60E+34
381	J0358+4155	0.226484332	1.46E-16	1.481	-0.222	0.593	9.839	2.46E+07	1.84E+11	5.00E+32
382	B0940+16	1.087417728	9.11E-17	1.487	1.058	-0.623	9.338	1.89E+08	3.18E+11	2.80E+30
383	J2325-0530	0.868735115	1.03E-15	1.495	-1.297	0.72	8.315	1.34E+07	9.57E+11	6.20E+31
384	J1910+1256	0.004983584	9.68E-21	1.496	0.047	1.086	7.472	8.16E+09	2.22E+08	3.10E+33
385	B0835-41	0.751625423	3.54E-15	1.5	-0.009	-1.481	8.737	3.37E+06	1.65E+12	3.30E+32
386	B1804-08	0.163727372	2.88E-17	1.5	0.146	0.512	7.098	9.01E+07	6.95E+10	2.60E+32
387	J0344-0901	1.226005573	3.47E-15	1.507	-1.072	-0.317	9.511	5.60E+06	2.09E+12	7.40E+31
388	J1951+1123	5.094083028	3.03E-15	1.513	-0.204	1.149	7.536	2.66E+07	3.98E+12	9.10E+29
389	B0254-53	0.447708473	3.13E-17	1.514	-1.245	-0.862	8.502	2.27E+08	1.20E+11	1.40E+31
390	J1640+2224	0.003163316	2.82E-21	1.515	0.938	0.781	7.603	1.78E+10	9.55E+07	3.50E+33
391	J0546+2441	2.843850385	7.65E-15	1.517	-0.054	-0.099	10.013	5.89E+06	4.72E+12	1.30E+31
392	J0435+2749	0.326279453	8.17E-18	1.521	-0.344	0.21	9.967	6.33E+08	5.22E+10	9.30E+30
393	B1133-55	0.364713249	8.23E-15	1.522	0.156	-1.401	7.925	7.02E+05	1.75E+12	6.70E+33
394	J0211-8159	1.077332701	2.90E-16	1.523	-0.865	-1.09	7.881	5.89E+07	5.66E+11	9.20E+30
395	J2033-1938	1.281719024	4.55E-16	1.525	-0.787	0.559	7.319	4.46E+07	7.73E+11	8.50E+30
396	J1312-6400	2.437432496	6.80E-16	1.526	-0.033	-1.247	7.621	5.65E+07	1.31E+12	1.90E+30
397	J1846+0919	0.225551453	9.93E-15	1.53	0.142	0.993	7.345	3.60E+05	1.51E+12	3.40E+34
398	J1254-6150	0.184502203	6.24E-16	1.531	0.027	-1.279	7.66	4.68E+06	3.43E+11	3.90E+33
399	J1926-1314	4.8642838	3.64E-14	1.531	-0.364	0.627	7.151	2.11E+06	1.35E+13	1.20E+31
400	J2235+1506	0.059767358	1.58E-19	1.54	-0.915	1.223	8.304	6.01E+09	3.11E+09	2.90E+31
401	J1838+1650	1.901967399	2.68E-15	1.541	0.276	1.103	7.46	1.13E+07	2.28E+12	1.50E+31
402	J1555-0515	0.975409891	2.05E-15	1.548	0.887	0.088	7.235	7.52E+06	1.43E+12	8.70E+31
403	J1826-1256	0.110223702	1.21E-13	1.55	-0.01	0.493	7.031	1.44E+04	3.70E+12	3.60E+36
404	J2310-0555	0.002612587	4.96E-21	1.556	-1.318	0.775	8.213	8.35E+09	1.15E+08	1.10E+34
405	J0212+5222	0.376386364	6.60E-15	1.558	-0.231	1.083	9.596	9.04E+05	1.59E+12	4.90E+33
406	J0250+5854	23.53537848	2.72E-14	1.558	-0.014	1.047	9.654	1.37E+07	2.56E+13	8.20E+28
407	J0509+3801	0.076541349	7.93E-18	1.562	-0.032	0.317	10.029	1.53E+08	2.49E+10	7.00E+32
408	J1431-4715	0.002011953	1.41E-20	1.562	0.332	-0.98	7.329	2.26E+09	1.70E+08	6.80E+34
409	J2043+1711	0.002379879	5.24E-21	1.562	-0.413	1.33	7.791	7.19E+09	1.13E+08	1.50E+34
410	B0540+23	0.245983683	1.54E-14	1.565	-0.093	-0.124	10.057	2.53E+05	1.97E+12	4.10E+34
411	J0857+3349	0.242961077	2.40E-16	1.567	1.002	-0.212	9.686	1.60E+07	2.44E+11	6.60E+32
412	J1446-4701	0.002194696	9.81E-21	1.569	0.311	-0.936	7.28	3.54E+09	1.48E+08	3.70E+34
413	J0843-5022	0.208955693	1.72E-16	1.573	-0.134	-1.567	8.541	1.92E+07	1.92E+11	7.50E+32
414	B1256-67	0.663330115	8.55E-16	1.574	-0.133	-1.305	7.63	1.23E+07	7.62E+11	1.20E+32
415	B1236-68	1.30192253	1.19E-14	1.575	-0.156	-1.331	7.672	1.74E+06	3.98E+12	2.10E+32
416	J0122+1416	1.38899395	3.80E-15	1.584	-1.176	0.763	9.238	5.79E+06	2.33E+12	5.60E+31
417	B1820-31	0.284054345	2.93E-15	1.586	-0.228	0.058	6.932	1.54E+06	9.23E+11	5.00E+33
418	B1949+14	0.275025683	1.28E-16	1.586	-0.182	1.25	7.541	3.40E+07	1.90E+11	2.40E+32
419	B1659-60	0.306323025	9.10E-16	1.589	-0.313	-0.785	7.154	5.33E+06	5.34E+11	1.20E+33
420	J0343-3000	2.597027157	5.70E-17	1.594	-1.262	-0.721	9.155	7.22E+08	3.89E+11	1.30E+29
421	J1604-7203	0.341402932	8.40E-17	1.595	-0.401	-1.059	7.377	6.44E+07	1.71E+11	8.30E+31
422	B0736-40	0.374920736	1.38E-15	1.6	-0.256	-1.52	8.93	4.32E+06	7.27E+11	1.00E+33
423	J1916-2939	1.248616964	1.24E-15	1.6	-0.496	0.218	6.995	1.59E+07	1.26E+12	2.50E+31
424	J0340+4130	0.003299339	7.05E-21	1.603	-0.306	0.695	9.912	7.42E+09	1.54E+08	7.70E+33
425	J1159-7910	0.525074239	2.82E-15	1.607	-0.458	-1.328	7.72	2.95E+06	1.23E+12	7.70E+32
426	J0742+4334	0.60619068	3.71E-16	1.61	0.736	0.111	9.927	2.59E+07	4.80E+11	6.60E+31
427	J1227-4853	0.001686375	1.11E-20	1.613	0.385	-1.37	7.741	2.41E+09	1.38E+08	9.10E+34
428	J0154+1833	0.00236457	2.92E-21	1.622	-1.081	0.724	9.468	1.28E+10	8.41E+07	8.70E+33
429	J0656-2228	1.224754415	2.67E-17	1.623	-0.253	-1.291	9.45	7.27E+08	1.83E+11	5.70E+29
430	B1612+07	1.206801436	2.36E-15	1.626	1.005	0.45	7.304	8.10E+06	1.71E+12	5.30E+31
431	J2136-1606	1.2272354	1.60E-17	1.633	-1.125	0.699	7.545	1.22E+09	1.42E+11	3.40E+29
432	B1143-60	0.273374509	1.79E-15	1.634	0.038	-1.481	7.81	2.42E+06	7.08E+11	3.50E+33
433	J1034-3224	1.150590428	2.30E-16	1.636	0.616	-1.515	8.446	7.91E+07	5.21E+11	6.00E+30
434	J0621+2514	0.002721788	2.48E-20	1.641	0.145	-0.203	10.122	1.74E+09	2.63E+08	4.90E+34
435	J1253-5820	0.255496327	2.10E-15	1.641	0.129	-1.369	7.604	1.93E+06	7.41E+11	5.00E+33
436	B1056-57	1.18500262	4.31E-15	1.645	0.056	-1.56	7.983	4.36E+06	2.29E+12	1.00E+32
437	J1902-5105	0.0017424	9.20E-21	1.645	-0.626	-0.377	7.026	3.00E+09	1.28E+08	6.90E+34
438	B1806-53	0.26104979	3.86E-16	1.647	-0.451	-0.534	7.009	1.07E+07	3.21E+11	8.60E+32
439	J2144-5237	0.005041454	8.90E-21	1.659	-1.216	-0.322	7.418	8.98E+09	2.14E+08	2.70E+33
440	B1839+09	0.381319294	1.09E-15	1.664	0.182	1.065	7.234	5.54E+06	6.52E+11	7.80E+32
441	B1620-09	1.27644582	2.58E-15	1.667	0.761	0.137	7.024	7.84E+06	1.84E+12	4.90E+31
442	J1123-6651	0.232976433	2.75E-15	1.675	-0.159	-1.518	7.809	1.34E+06	8.10E+11	8.60E+33
443	J0949-6902	0.640015724	6.37E-16	1.677	-0.34	-1.563	7.997	1.59E+07	6.46E+11	9.60E+31
444	B1237-41	0.512242093	1.74E-15	1.682	0.614	-1.347	7.701	4.67E+06	9.55E+11	5.10E+32
445	J1103-5403	0.00339271	3.70E-21	1.683	0.162	-1.598	7.998	1.46E+10	1.13E+08	3.70E+33
446	B1842+14	0.375463379	1.87E-15	1.683	0.239	1.189	7.333	3.18E+06	8.48E+11	1.40E+33
447	J0824+0028	0.009861349	1.47E-19	1.689	0.599	-1.088	9.644	1.06E+09	1.22E+09	6.00E+33
448	J1056-7117	0.026309677	6.30E-20	1.69	-0.307	-1.519	7.826	6.62E+09	1.30E+09	1.40E+32
449	B0329+54	0.7145197	2.05E-15	1.695	-0.036	0.972	9.888	5.53E+06	1.22E+12	2.20E+32
450	B1530+27	1.124835743	7.80E-16	1.695	1.38	0.677	7.786	2.29E+07	9.48E+11	2.20E+31
451	J2039-3616	0.00327	8.43E-21	1.696	-1.009	0.15	7.145	6.15E+09	1.68E+08	9.50E+33
452	J0621+0336	0.269954068	7.24E-18	1.702	-0.15	-0.75	10.021	5.91E+08	4.47E+10	1.50E+31
453	B0339+53	1.934478067	1.34E-14	1.705	-0.043	0.928	9.93	2.28E+06	5.16E+12	7.30E+31
454	B1524-39	2.417605394	1.91E-14	1.708	0.414	-0.751	7.023	2.01E+06	6.87E+12	5.30E+31
455	B1612-29	2.477567874	1.58E-15	1.717	0.446	-0.362	6.882	2.48E+07	2.00E+12	4.10E+30
456	B1918+26	0.78552185	3.44E-17	1.722	0.181	1.484	7.646	3.62E+08	1.66E+11	2.80E+30
457	J1821+0155	0.033781332	2.90E-20	1.723	0.225	0.886	7.04	1.85E+10	1.00E+09	3.00E+31
458	J1612+2008	0.426645981	3.73E-17	1.74	1.203	0.73	7.477	1.81E+08	1.28E+11	1.90E+31
459	J2033+1734	0.005948958	1.11E-20	1.74	-0.396	1.48	7.675	8.47E+09	2.60E+08	2.10E+33
460	J0209+5759	1.063906283	1.39E-14	1.743	-0.101	1.269	9.69	1.21E+06	3.89E+12	4.60E+32
461	J1125-5825	0.003102214	6.09E-20	1.744	0.079	-1.617	7.85	8.07E+08	4.40E+08	8.10E+34
